fighter_id,name,height,weight,reach,age,image_path,stance_orthodox,stance_southpaw,weight_class_featherweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_unknown,weight_class_welterweight
1,Conor McGregor,1.75,70.3,1.88,33,static/images/pngimg.com - conor_mcgregor_PNG54.png,False,True,False,False,False,True,False,False,False
2,Khabib Nurmagomedov,1.78,70.3,1.78,33,static/images/default_fighter.jpg,True,False,False,False,False,True,False,False,False
3,Jon Jones,1.93,93.0,2.15,34,static/images/2335639.png,True,False,False,False,True,False,False,False,False
4,Israel Adesanya,1.93,84.0,2.03,32,static/images/default_fighter.jpg,True,False,False,False,False,False,True,False,False
5,Francis Ngannou,1.93,117.0,2.03,35,static/images/default_fighter.jpg,True,False,False,True,False,False,False,False,False
6,Dustin Poirier,1.75,70.3,1.83,33,static/images/default_fighter.jpg,False,True,False,False,False,True,False,False,False
7,Charles Oliveira,1.78,70.3,1.85,32,static/images/default_fighter.jpg,True,False,False,False,False,True,False,False,False
8,Kamaru Usman,1.83,77.1,1.93,34,static/images/default_fighter.jpg,True,False,False,False,False,False,False,False,True
9,Alexander Volkanovski,1.68,65.8,1.82,33,static/images/default_fighter.jpg,True,False,True,False,False,False,False,False,False
10,Max Holloway,1.8,65.8,1.82,30,static/images/default_fighter.jpg,True,False,True,False,False,False,False,False,False
11,Shamil Abdurakhimov,4.83,106.6,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
12,Daichi Abe,4.57,77.1,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
13,Juan Adams,4.95,120.2,5.2,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
14,Jessica Aguilar,4.11,52.2,4.32,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
15,Kevin Aguilar,4.32,70.3,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
16,Omari Akhmedov,4.62,83.9,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
17,Yoshihiro Akiyama,4.5,77.1,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
18,Junior Albini,4.83,120.2,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
19,Alexandra Albu,4.06,52.2,4.26,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
20,Iuri Alcantara,4.44,61.2,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
21,Hector Aldana,4.57,77.1,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
22,Irene Aldana,4.44,61.2,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
23,Jose Aldo,4.32,65.8,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
24,JJ Aldrich,4.19,52.2,4.4,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
25,Abdul Razak Alhass,4.5,77.1,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
26,Sultan Aliev,4.62,77.1,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
27,Arnold Allen,4.37,65.8,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
28,Thomas Almeida,4.32,61.2,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
29,Eddie Alvarez,4.44,70.3,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
30,Jaime Alvarez,4.37,56.7,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
31,Thiago Alves,4.44,77.1,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
32,Warlley Alves,4.57,77.1,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
33,Sam Alvey,4.75,93.0,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
34,Makwan Amirkhani,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
35,Eryk Anders,4.7,83.9,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
36,Corey Anderson,4.83,93.0,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
37,Megan Anderson,4.62,65.8,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
38,Jessica Andrade,3.99,52.2,4.19,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
39,Magomed Ankalaev,4.75,93.0,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
40,Nina Ansaroff,4.19,52.2,4.4,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
41,Gadzhimurad Antigu,4.57,93.0,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
42,Adam Antolin,4.19,56.7,4.4,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
