fighter_id,name,height,weight,reach,stance,age,weight_class,image_path
1,Conor McGregor,1.75,70.3,1.88,southpaw,33,lightweight,static/images/pngimg.com - conor_mcgregor_PNG54.png
2,Khabib Nurmagomedov,1.78,70.3,1.78,orthodox,33,lightweight,static/images/default_fighter.jpg
3,Jon Jones,1.93,93.0,2.15,orthodox,34,light_heavyweight,static/images/2335639.png
4,Israel Adesanya,1.93,84.0,2.03,orthodox,32,middleweight,static/images/default_fighter.jpg
5,Francis Ngannou,1.93,117.0,2.03,orthodox,35,heavyweight,static/images/default_fighter.jpg
6,Dustin Poirier,1.75,70.3,1.83,southpaw,33,lightweight,static/images/default_fighter.jpg
7,Charles Oliveira,1.78,70.3,1.85,orthodox,32,lightweight,static/images/default_fighter.jpg
8,Kamaru Usman,1.83,77.1,1.93,orthodox,34,welterweight,static/images/default_fighter.jpg
9,Alexander Volkanovski,1.68,65.8,1.82,orthodox,33,featherweight,static/images/default_fighter.jpg
10,Max Holloway,1.8,65.8,1.82,orthodox,30,featherweight,static/images/default_fighter.jpg
11,Shamil Abdurakhimov,4.83,106.6,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
12,Daichi Abe,4.57,77.1,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
13,Juan Adams,4.95,120.2,5.2,orthodox,30,unknown,static/images/default_fighter.jpg
14,Jessica Aguilar,4.11,52.2,4.32,orthodox,30,unknown,static/images/default_fighter.jpg
15,Kevin Aguilar,4.32,70.3,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
16,Omari Akhmedov,4.62,83.9,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
17,Yoshihiro Akiyama,4.5,77.1,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
18,Junior Albini,4.83,120.2,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
19,Alexandra Albu,4.06,52.2,4.26,orthodox,30,unknown,static/images/default_fighter.jpg
20,Iuri Alcantara,4.44,61.2,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
21,Hector Aldana,4.57,77.1,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
22,Irene Aldana,4.44,61.2,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
23,Jose Aldo,4.32,65.8,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
24,JJ Aldrich,4.19,52.2,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
25,Abdul Razak Alhass,4.5,77.1,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
26,Sultan Aliev,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
27,Arnold Allen,4.37,65.8,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
28,Thomas Almeida,4.32,61.2,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
29,Eddie Alvarez,4.44,70.3,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
30,Jaime Alvarez,4.37,56.7,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
31,Thiago Alves,4.44,77.1,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
32,Warlley Alves,4.57,77.1,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
33,Sam Alvey,4.75,93.0,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
34,Makwan Amirkhani,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
35,Eryk Anders,4.7,83.9,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
36,Corey Anderson,4.83,93.0,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
37,Megan Anderson,4.62,65.8,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
38,Jessica Andrade,3.99,52.2,4.19,orthodox,30,unknown,static/images/default_fighter.jpg
39,Magomed Ankalaev,4.75,93.0,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
40,Nina Ansaroff,4.19,52.2,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
41,Gadzhimurad Antigu,4.57,93.0,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
42,Adam Antolin,4.19,56.7,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
43,Zu Anyanwu,4.7,108.9,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
44,Shinsho Anzai,4.32,77.1,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
45,Josh Appelt,4.5,110.2,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
46,Felipe Arantes,4.37,61.2,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
47,Julio Arce,4.32,65.8,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
48,Andrei Arlovski,4.83,108.9,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
49,Austin Arnett,4.62,65.8,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
50,Cyril Asker,4.62,112.0,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
51,Raphael Assuncao,4.19,61.2,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
52,Olivier Aubin-Merc,4.44,70.3,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
53,Jessin Ayari,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
54,Abu Azaitar,4.5,83.9,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
55,Siyar Bahadurzada,4.57,77.1,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
56,Humberto Bandenay,4.7,65.8,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
57,Tae Hyun Bang,4.44,70.3,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
58,Renan Barao,4.24,61.2,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
59,Maycee Barber,4.19,52.2,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
60,Bryan Barberena,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
61,Edson Barboza,4.57,70.3,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
62,Raoni Barcelos,4.32,65.8,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
63,Josh Barnett,4.83,113.4,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
64,Enrique Barzola,4.32,65.8,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
65,Mirsad Bektic,4.37,65.8,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
66,Vitor Belfort,4.62,83.9,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
67,Marco Beltran,4.37,56.7,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
68,Joseph Benavidez,4.11,56.7,4.32,orthodox,30,unknown,static/images/default_fighter.jpg
69,Gabriel Benitez,4.37,65.8,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
70,Ryan Benoit,4.19,56.7,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
71,Keith Berish,4.62,83.9,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
72,Dennis Bermudez,4.24,65.8,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
73,Manny Bermudez,4.5,61.2,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
74,Talita Bernardo,4.11,61.2,4.32,orthodox,30,unknown,static/images/default_fighter.jpg
75,Anton Berzin,4.75,93.0,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
76,Matt Bessette,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
77,Magomed Bibulatov,4.19,56.7,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
78,Chris Birchler,4.83,93.0,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
79,Michael Bisping,4.7,83.9,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
80,Jan Blachowicz,4.75,93.0,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
